date,port_ret,active_positions,wealth,dd
2019-01-02,0.0,0,1.0,0.0
2019-01-09,0.0,0,1.0,0.0
2019-01-16,0.0,0,1.0,0.0
2019-01-23,0.0,0,1.0,0.0
2019-01-30,0.0,0,1.0,0.0
2019-02-06,0.0,0,1.0,0.0
2019-02-13,0.0,0,1.0,0.0
2019-02-20,0.0,0,1.0,0.0
2019-02-27,0.0,0,1.0,0.0
2019-03-06,0.0,0,1.0,0.0
2019-03-13,0.0,0,1.0,0.0
2019-03-20,0.0,0,1.0,0.0
2019-03-27,0.0,0,1.0,0.0
2019-04-03,0.0,0,1.0,0.0
2019-04-10,0.0,0,1.0,0.0
2019-04-17,0.0,0,1.0,0.0
2019-04-24,0.0,0,1.0,0.0
2019-05-01,0.0,0,1.0,0.0
2019-05-08,0.0,0,1.0,0.0
2019-05-15,0.0,0,1.0,0.0
2019-05-22,0.0,0,1.0,0.0
2019-05-29,0.0,0,1.0,0.0
2019-06-05,0.0,0,1.0,0.0
2019-06-12,0.0,0,1.0,0.0
2019-06-19,0.0,0,1.0,0.0
2019-06-26,0.0,0,1.0,0.0
2019-07-03,0.0,0,1.0,0.0
2019-07-10,0.0,0,1.0,0.0
2019-07-17,0.0,0,1.0,0.0
2019-07-24,0.0,0,1.0,0.0
2019-07-31,0.0,0,1.0,0.0
2019-08-07,0.0,0,1.0,0.0
2019-08-14,0.0,0,1.0,0.0
2019-08-21,0.0,0,1.0,0.0
2019-08-28,0.0,0,1.0,0.0
2019-09-04,0.0,0,1.0,0.0
2019-09-11,0.0,0,1.0,0.0
2019-09-18,0.0,0,1.0,0.0
2019-09-25,0.0,0,1.0,0.0
2019-10-02,0.0,0,1.0,0.0
2019-10-09,0.0,0,1.0,0.0
2019-10-16,0.0,0,1.0,0.0
2019-10-23,0.0,0,1.0,0.0
2019-10-30,0.0,0,1.0,0.0
2019-11-06,0.0,0,1.0,0.0
2019-11-13,0.0,0,1.0,0.0
2019-11-20,0.0,0,1.0,0.0
2019-11-27,0.0,0,1.0,0.0
2019-12-04,0.0,0,1.0,0.0
2019-12-11,0.0,0,1.0,0.0
2019-12-18,0.0,0,1.0,0.0
2019-12-25,0.0,0,1.0,0.0
2020-01-01,0.0,0,1.0,0.0
2020-01-08,0.0,0,1.0,0.0
2020-01-15,0.0,0,1.0,0.0
2020-01-22,0.0,0,1.0,0.0
2020-01-29,0.0,0,1.0,0.0
2020-02-05,0.0,0,1.0,0.0
2020-02-12,0.0,0,1.0,0.0
2020-02-19,0.0,0,1.0,0.0
2020-02-26,0.0,0,1.0,0.0
2020-03-04,0.0,0,1.0,0.0
2020-03-11,0.0,0,1.0,0.0
2020-03-18,-0.07781946702597896,1,0.922180532974021,-0.07781946702597897
2020-03-25,-0.30038644615472604,3,0.6451699999608836,-0.35483000003911636
2020-04-01,-0.07536307702552605,3,0.596548003559273,-0.40345199644072705
2020-04-08,-0.09647069127500245,3,0.5389986052771873,-0.46100139472281265
2020-04-15,0.30580675278262687,3,0.7038280185113689,-0.2961719814886311
2020-04-22,-0.04321869214961663,3,0.6734094920530513,-0.32659050794694866
2020-04-29,0.1966107498374486,4,0.8058090372332571,-0.19419096276674286
2020-05-06,0.09214849129893515,4,0.8800631242893493,-0.1199368757106507
2020-05-13,0.0743835979930291,5,0.9455253859349775,-0.05447461406502252
