date,ccy,pv_entry,abs_err,min_tenor,max_tenor
2019-01-02,NGN,,,1.0,5.0
2019-01-09,BRL,1.0,0.0,1.0,10.0
2019-01-09,NGN,,,1.0,5.0
2019-01-16,BRL,1.0,0.0,1.0,10.0
2019-01-16,NGN,,,1.0,5.0
2019-01-23,BRL,1.0,0.0,1.0,10.0
2019-01-23,NGN,,,1.0,5.0
2019-01-30,BRL,1.0,0.0,1.0,10.0
2019-01-30,NGN,,,1.0,5.0
2019-02-06,BRL,1.0,0.0,1.0,10.0
2019-02-06,NGN,,,1.0,5.0
2019-02-13,BRL,1.0,0.0,1.0,10.0
2019-02-13,NGN,,,1.0,5.0
2019-02-20,BRL,1.0,0.0,1.0,10.0
2019-02-20,NGN,,,1.0,5.0
2019-02-27,BRL,1.0,0.0,1.0,10.0
2019-02-27,NGN,,,1.0,5.0
2019-03-06,BRL,1.0,0.0,1.0,10.0
2019-03-06,NGN,,,1.0,5.0
2019-03-13,BRL,1.0,0.0,1.0,10.0
2019-03-13,NGN,1.0,0.0,1.0,10.0
2019-03-20,BRL,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2019-03-20,NGN,1.0,0.0,1.0,10.0
2019-03-27,BRL,1.0,0.0,1.0,10.0
2019-03-27,NGN,1.0,0.0,1.0,10.0
2019-04-03,BRL,1.0,0.0,1.0,10.0
2019-04-03,NGN,1.0,0.0,1.0,10.0
2019-04-03,TRY,1.0,0.0,1.0,10.0
2019-04-10,BRL,1.0,0.0,1.0,10.0
2019-04-10,NGN,1.0,0.0,1.0,10.0
2019-04-10,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2019-04-17,BRL,1.0,0.0,1.0,10.0
2019-04-17,NGN,1.0,0.0,1.0,10.0
2019-04-17,TRY,1.0,0.0,1.0,10.0
2019-04-24,BRL,1.0,0.0,1.0,10.0
2019-04-24,NGN,1.0,0.0,1.0,10.0
2019-04-24,TRY,1.0,0.0,1.0,10.0
2019-05-01,BRL,1.0,0.0,1.0,10.0
2019-05-01,NGN,1.0,0.0,1.0,10.0
2019-05-01,TRY,1.0,0.0,1.0,10.0
2019-05-08,BRL,1.0,0.0,1.0,10.0
2019-05-08,NGN,1.0,0.0,1.0,10.0
2019-05-08,TRY,1.0,0.0,1.0,10.0
2019-05-15,BRL,1.0,0.0,1.0,10.0
2019-05-15,NGN,1.0,0.0,1.0,10.0
2019-05-15,TRY,1.0,0.0,1.0,10.0
2019-05-22,BRL,1.0,0.0,1.0,10.0
2019-05-22,NGN,1.0,0.0,1.0,10.0
2019-05-22,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2019-05-29,BRL,1.0,0.0,1.0,10.0
2019-05-29,NGN,1.0,0.0,1.0,10.0
2019-05-29,TRY,1.0,0.0,1.0,10.0
2019-06-05,BRL,1.0,0.0,1.0,10.0
2019-06-05,NGN,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2019-06-05,TRY,1.0,0.0,1.0,10.0
2019-06-12,BRL,1.0,0.0,1.0,10.0
2019-06-12,NGN,1.0,0.0,1.0,10.0
2019-06-12,TRY,1.0,0.0,1.0,10.0
2019-06-19,BRL,1.0,0.0,1.0,10.0
2019-06-19,NGN,1.0,0.0,1.0,10.0
2019-06-19,TRY,1.0,0.0,1.0,10.0
2019-06-26,BRL,1.0,0.0,1.0,10.0
2019-06-26,NGN,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2019-06-26,TRY,1.0,0.0,1.0,10.0
2019-07-03,BRL,1.0,0.0,1.0,10.0
2019-07-03,NGN,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2019-07-03,TRY,1.0,0.0,1.0,10.0
2019-07-10,BRL,1.0,0.0,1.0,10.0
2019-07-10,TRY,1.0,0.0,1.0,10.0
2019-07-17,BRL,1.0,0.0,1.0,10.0
2019-07-17,TRY,1.0,0.0,1.0,10.0
2019-07-24,BRL,1.0,0.0,1.0,10.0
2019-07-24,TRY,1.0,0.0,1.0,10.0
2019-07-31,BRL,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2019-07-31,TRY,1.0,0.0,1.0,10.0
2019-08-07,BRL,1.0,0.0,1.0,10.0
2019-08-07,TRY,1.0,0.0,1.0,10.0
2019-08-14,BRL,1.0,0.0,1.0,10.0
2019-08-14,TRY,1.0,0.0,1.0,10.0
2019-08-21,BRL,1.0,0.0,1.0,10.0
2019-08-21,TRY,1.0,0.0,1.0,10.0
2019-08-28,BRL,1.0,0.0,1.0,10.0
2019-08-28,TRY,1.0,0.0,1.0,10.0
2019-09-04,BRL,1.0,0.0,1.0,10.0
2019-09-04,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2019-09-11,BRL,1.0,0.0,1.0,10.0
2019-09-11,TRY,1.0,0.0,1.0,10.0
2019-09-18,BRL,1.0,0.0,1.0,10.0
2019-09-25,BRL,1.0,0.0,1.0,10.0
2019-10-02,BRL,1.0,0.0,1.0,10.0
2019-10-09,BRL,1.0,0.0,1.0,10.0
2019-10-16,BRL,1.0,0.0,1.0,10.0
2019-10-23,BRL,1.0,0.0,1.0,10.0
2019-10-30,BRL,1.0,0.0,1.0,10.0
2019-11-06,BRL,1.0,0.0,1.0,10.0
2019-11-13,BRL,1.0,0.0,1.0,10.0
2019-11-20,BRL,1.0,0.0,1.0,10.0
2019-11-27,BRL,1.0,0.0,1.0,10.0
2019-11-27,TRY,1.0,0.0,1.0,10.0
2019-12-04,BRL,1.0,0.0,1.0,10.0
2019-12-04,TRY,1.0,0.0,1.0,10.0
2019-12-11,BRL,1.0,0.0,1.0,10.0
2019-12-11,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2019-12-18,BRL,1.0,0.0,1.0,10.0
2019-12-18,TRY,1.0,0.0,1.0,10.0
2019-12-25,BRL,1.0,0.0,1.0,10.0
2019-12-25,TRY,1.0,0.0,1.0,10.0
2020-01-01,BRL,1.0,0.0,1.0,10.0
2020-01-01,TRY,1.0,0.0,1.0,10.0
2020-01-08,BRL,1.0,0.0,1.0,10.0
2020-01-08,TRY,1.0,0.0,1.0,10.0
2020-01-15,BRL,1.0,0.0,1.0,10.0
2020-01-15,TRY,1.0,0.0,1.0,10.0
2020-01-22,BRL,1.0,0.0,1.0,10.0
2020-01-22,TRY,1.0,0.0,1.0,10.0
2020-01-29,BRL,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2020-01-29,TRY,1.0,0.0,1.0,10.0
2020-02-05,BRL,1.0,0.0,1.0,10.0
2020-02-05,TRY,1.0,0.0,1.0,10.0
2020-02-12,BRL,1.0,0.0,1.0,10.0
2020-02-12,TRY,1.0,0.0,1.0,10.0
2020-02-19,BRL,1.0,0.0,1.0,10.0
2020-02-19,TRY,1.0,0.0,1.0,10.0
2020-02-26,BRL,1.0,0.0,1.0,10.0
2020-02-26,TRY,1.0,0.0,1.0,10.0
2020-03-04,BRL,1.0,0.0,1.0,10.0
2020-03-04,TRY,1.0,0.0,1.0,10.0
2020-03-11,BRL,1.0,0.0,1.0,10.0
2020-03-11,TRY,1.0,0.0,1.0,10.0
2020-03-18,BRL,1.0,0.0,1.0,10.0
2020-03-18,TRY,1.0,0.0,1.0,10.0
2020-03-25,BRL,1.0,0.0,1.0,10.0
2020-03-25,TRY,1.0,0.0,1.0,10.0
2020-04-01,BRL,1.0,0.0,1.0,10.0
2020-04-01,TRY,1.0,0.0,1.0,10.0
2020-04-08,BRL,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2020-04-08,TRY,1.0,0.0,1.0,10.0
2020-04-15,BRL,1.0,0.0,1.0,10.0
2020-04-15,TRY,1.0,0.0,1.0,10.0
2020-04-22,BRL,1.0,0.0,1.0,10.0
2020-04-22,TRY,1.0,0.0,1.0,10.0
2020-04-29,BRL,1.0,0.0,1.0,10.0
2020-04-29,TRY,1.0,0.0,1.0,10.0
2020-05-06,BRL,1.0,0.0,1.0,10.0
2020-05-06,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2020-05-13,BRL,1.0,0.0,1.0,10.0
2020-05-13,TRY,1.0,0.0,1.0,10.0
2020-05-20,BRL,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2020-05-20,TRY,1.0,0.0,1.0,10.0
2020-05-27,BRL,1.0,0.0,1.0,10.0
2020-05-27,TRY,1.0,0.0,1.0,10.0
2020-06-03,BRL,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2020-06-03,TRY,1.0,0.0,1.0,10.0
2020-06-10,BRL,1.0,0.0,1.0,10.0
2020-06-10,TRY,1.0,0.0,1.0,10.0
2020-06-17,BRL,1.0,0.0,1.0,10.0
2020-06-17,TRY,1.0,0.0,1.0,10.0
2020-06-24,BRL,1.0,0.0,1.0,10.0
2020-06-24,TRY,1.0,0.0,1.0,10.0
2020-07-01,BRL,1.0,0.0,1.0,10.0
2020-07-01,TRY,1.0,0.0,1.0,10.0
2020-07-08,BRL,1.0,0.0,1.0,10.0
2020-07-08,TRY,1.0,0.0,1.0,10.0
2020-07-15,BRL,1.0,0.0,1.0,10.0
2020-07-22,BRL,1.0,0.0,1.0,10.0
2020-07-29,BRL,1.0,0.0,1.0,10.0
2020-08-05,BRL,1.0,0.0,1.0,10.0
2020-08-12,BRL,1.0,0.0,1.0,10.0
2020-08-19,BRL,1.0,0.0,1.0,10.0
2020-08-26,BRL,1.0,0.0,1.0,10.0
2020-09-02,BRL,1.0,0.0,1.0,10.0
2020-09-09,BRL,1.0,0.0,1.0,10.0
2020-09-16,BRL,1.0,0.0,1.0,10.0
2020-09-23,BRL,1.0,0.0,1.0,10.0
2020-09-30,BRL,1.0,0.0,1.0,10.0
2020-10-07,BRL,1.0,0.0,1.0,10.0
2020-10-14,BRL,1.0,0.0,1.0,10.0
2020-10-21,BRL,1.0,0.0,1.0,10.0
2020-10-28,BRL,1.0,0.0,1.0,10.0
2020-11-04,BRL,1.0,0.0,1.0,10.0
2020-11-11,BRL,1.0,0.0,1.0,10.0
2020-11-18,BRL,1.0,0.0,1.0,10.0
2020-11-25,BRL,1.0,0.0,1.0,10.0
2020-12-02,BRL,1.0,0.0,1.0,10.0
2020-12-02,TRY,,,1.0,5.0
2020-12-09,BRL,1.0,0.0,1.0,10.0
2020-12-09,TRY,1.0,0.0,1.0,10.0
2020-12-16,BRL,1.0,0.0,1.0,10.0
2020-12-16,TRY,1.0,0.0,1.0,10.0
2020-12-23,BRL,1.0,0.0,1.0,10.0
2020-12-23,TRY,1.0,0.0,1.0,10.0
2020-12-30,BRL,1.0,0.0,1.0,10.0
2020-12-30,TRY,1.0,0.0,1.0,10.0
2021-01-06,BRL,1.0,0.0,1.0,10.0
2021-01-06,TRY,1.0,0.0,1.0,10.0
2021-01-13,BRL,1.0,0.0,1.0,10.0
2021-01-13,TRY,1.0,0.0,1.0,10.0
