date,next_date,ccy,available,active,reason_unavailable,s5_lend,s5_fund,spread,ret_equity,ret_notional,pnl_usd,lend_pnl_usd,lend_pnl_rates,lend_pnl_fx,debt_cost_usd,debt_cost_interest,debt_cost_fx
2019-01-02,2019-01-09,BRL,0,0,no_1y_5y_coverage,,0.009609717111796383,,,,0.0,,,,,,
2019-01-02,2019-01-09,NGN,0,0,entry_par_check_failed,0.1519,0.009609717111796383,0.1422902828882036,,,0.0,,,,,,
2019-01-02,2019-01-09,PKR,0,0,missing_curve,,0.009609717111796383,,,,0.0,,,,,,
2019-01-02,2019-01-09,TRY,0,0,no_1y_5y_coverage,,0.009609717111796383,,,,0.0,,,,,,
2019-01-02,2019-01-09,ZAR,0,0,no_1y_5y_coverage,,0.009609717111796383,,,,0.0,,,,,,
2019-01-09,2019-01-16,BRL,1,1,,0.07922177777777778,0.009949612808105105,0.06927216496967267,-0.05576114439198235,-0.01115222887839647,-111522.2887839647,-30230.040252882987,-20083.873587682843,-10146.166665200144,81292.24853108171,1855.846153846942,79436.40237723477
2019-01-09,2019-01-16,NGN,0,0,entry_par_check_failed,0.15145999999999998,0.009949612808105105,0.14151038719189488,,,0.0,,,,,,
2019-01-09,2019-01-16,PKR,0,0,missing_curve,,0.009949612808105105,,,,0.0,,,,,,
2019-01-09,2019-01-16,TRY,0,0,no_1y_5y_coverage,,0.009949612808105105,,,,0.0,,,,,,
2019-01-09,2019-01-16,ZAR,0,0,no_1y_5y_coverage,,0.009949612808105105,,,,0.0,,,,,,
2019-01-16,2019-01-23,BRL,1,1,,0.08012055555555556,0.010547365388237391,0.06957319016731817,-0.09616199794588658,-0.019232399589177315,-192323.99589177314,-140228.2564970646,120176.12334835157,-260404.37984541617,52095.73939470854,1855.2307692300528,50240.508625478484
2019-01-16,2019-01-23,NGN,0,0,entry_par_check_failed,0.15139,0.010547365388237391,0.1408426346117626,,,0.0,,,,,,
2019-01-16,2019-01-23,PKR,0,0,missing_curve,,0.010547365388237391,,,,0.0,,,,,,
2019-01-16,2019-01-23,TRY,0,0,no_1y_5y_coverage,,0.010547365388237391,,,,0.0,,,,,,
2019-01-16,2019-01-23,ZAR,0,0,no_1y_5y_coverage,,0.010547365388237391,,,,0.0,,,,,,
2019-01-23,2019-01-30,BRL,1,1,,0.0776248888888889,0.01065509441552877,0.06696979447336013,0.0895678962141606,0.01791357924283212,179135.7924283212,272369.8018736448,17507.871277811006,254861.9305958338,93234.00944532361,1854.3076923061162,91379.70175301749
2019-01-23,2019-01-30,NGN,0,0,entry_par_check_failed,0.15095,0.01065509441552877,0.14029490558447122,,,0.0,,,,,,
2019-01-23,2019-01-30,PKR,0,0,missing_curve,,0.01065509441552877,,,,0.0,,,,,,
2019-01-23,2019-01-30,TRY,0,0,no_1y_5y_coverage,,0.01065509441552877,,,,0.0,,,,,,
2019-01-23,2019-01-30,ZAR,0,0,no_1y_5y_coverage,,0.01065509441552877,,,,0.0,,,,,,
2019-01-30,2019-02-06,BRL,1,1,,0.07760444444444445,0.010085512189958411,0.06751893225448603,0.13743286553427903,0.027486573106855806,274865.73106855806,190335.62491937913,51760.89516056888,138574.72975881025,-84530.10614917893,1851.3846153849736,-86381.4907645639
2019-01-30,2019-02-06,NGN,0,0,entry_par_check_failed,0.1495,0.010085512189958411,0.1394144878100416,,,0.0,,,,,,
2019-01-30,2019-02-06,PKR,0,0,missing_curve,,0.010085512189958411,,,,0.0,,,,,,
2019-01-30,2019-02-06,TRY,0,0,no_1y_5y_coverage,,0.010085512189958411,,,,0.0,,,,,,
2019-01-30,2019-02-06,ZAR,0,0,no_1y_5y_coverage,,0.010085512189958411,,,,0.0,,,,,,
2019-02-06,2019-02-13,BRL,1,1,,0.07675677777777777,0.009745778473372102,0.06701099930440567,-0.04080580417633755,-0.00816116083526751,-81611.6083526751,-104000.71940364689,4353.820148151368,-108354.53955179825,-22389.111050971784,1856.3076923070475,-24245.41874327883
2019-02-06,2019-02-13,NGN,0,0,entry_par_check_failed,0.14708,0.009745778473372102,0.1373342215266279,,,0.0,,,,,,
2019-02-06,2019-02-13,PKR,0,0,missing_curve,,0.009745778473372102,,,,0.0,,,,,,
2019-02-06,2019-02-13,TRY,0,0,no_1y_5y_coverage,,0.009745778473372102,,,,0.0,,,,,,
2019-02-06,2019-02-13,ZAR,0,0,no_1y_5y_coverage,,0.009745778473372102,,,,0.0,,,,,,
2019-02-13,2019-02-20,BRL,1,1,,0.07704844444444445,0.009495690718094077,0.06755275372635038,-0.05726811638640054,-0.011453623277280106,-114536.23277280107,-26689.21127540618,8328.573475448415,-35017.7847508546,87847.02149739489,1856.7692307699472,85990.25226662494
2019-02-13,2019-02-20,NGN,0,0,entry_par_check_failed,0.14619,0.009495690718094077,0.1366943092819059,,,0.0,,,,,,
2019-02-13,2019-02-20,PKR,0,0,missing_curve,,0.009495690718094077,,,,0.0,,,,,,
2019-02-13,2019-02-20,TRY,0,0,no_1y_5y_coverage,,0.009495690718094077,,,,0.0,,,,,,
2019-02-13,2019-02-20,ZAR,0,0,no_1y_5y_coverage,,0.009495690718094077,,,,0.0,,,,,,
2019-02-20,2019-02-27,BRL,1,1,,0.07724555555555557,0.009505667760957074,0.0677398877945985,-0.08569839631610783,-0.017139679263221564,-171396.79263221566,-51271.88790494017,16601.742248231545,-67873.63015317172,120124.90472727548,1858.0,118266.90472727548
2019-02-20,2019-02-27,NGN,0,0,entry_par_check_failed,0.14581,0.009505667760957074,0.13630433223904292,,,0.0,,,,,,
2019-02-20,2019-02-27,PKR,0,0,missing_curve,,0.009505667760957074,,,,0.0,,,,,,
2019-02-20,2019-02-27,TRY,0,0,no_1y_5y_coverage,,0.009505667760957074,,,,0.0,,,,,,
2019-02-20,2019-02-27,ZAR,0,0,no_1y_5y_coverage,,0.009505667760957074,,,,0.0,,,,,,
2019-02-27,2019-03-06,BRL,1,1,,0.07724333333333333,0.010480469919146971,0.06676286341418636,-0.016692010590834076,-0.0033384021181668156,-33384.021181668155,-98069.40273510665,-26252.446344498545,-71816.9563906081,-64685.38155343849,1856.153846153058,-66541.53539959155
