label,date,qbin,mu0,mu0_se_hac,n,r2,mu1,mu2,mu1_se,mu2_se,success,cost,M,q_outlier
EX:SYNX,2024-01-01,Q0.8000_0.9000,4.3360555372020405e-08,8.87084198674493e-10,1600,0.06100708144139533,8.399848664408179e-07,0.21297797638477042,2.3818351603532013e-08,9.675780225547514e-14,True,5.689645505207599e-09,1,0.995
EX:SYNY,2024-01-01,Q0.8000_0.9000,8.740386841817485e-08,1.14206599063987e-09,1600,0.24985377620327798,8.836632164226245e-07,0.2242550274691223,2.6760698963701442e-06,0.6251492239126025,True,4.464150157917563e-09,1,0.995
ALL,2024-01-01,Q0.8000_0.9000,2.913756343304426e-08,4.537799804123017e-10,3000,0.11106854018895718,4.3348473461507367e-07,0.21675881550871182,8.312626065310058e-09,1.7455250314872122e-14,True,2.537310505245634e-09,1,0.995
ALL,2024-01-01,Q0.9000_0.9500,2.081563888830157e-08,4.206991608783664e-10,1600,0.061818716697632614,4.2967079047704654e-07,0.214755488338068,1.1948735573802714e-08,2.531510186672983e-14,True,1.5173028762985733e-09,1,0.995
EX:SYNX,2024-01-01,Q0.8000_0.9000,4.3360555372020405e-08,8.87084198674493e-10,1600,0.06100708144139533,8.399848664408179e-07,0.21297797638477042,2.3818351603532013e-08,9.675780225547514e-14,True,5.689645505207599e-09,1,0.9975
EX:SYNY,2024-01-01,Q0.8000_0.9000,8.740386841817485e-08,1.14206599063987e-09,1600,0.24985377620327798,8.836632164226245e-07,0.2242550274691223,2.6760698963701442e-06,0.6251492239126025,True,4.464150157917563e-09,1,0.9975
ALL,2024-01-01,Q0.8000_0.9000,2.913756343304426e-08,4.537799804123017e-10,3000,0.11106854018895718,4.3348473461507367e-07,0.21675881550871182,8.312626065310058e-09,1.7455250314872122e-14,True,2.537310505245634e-09,1,0.9975
ALL,2024-01-01,Q0.9000_0.9500,2.081563888830157e-08,4.206991608783664e-10,1600,0.061818716697632614,4.2967079047704654e-07,0.214755488338068,1.1948735573802714e-08,2.531510186672983e-14,True,1.5173028762985733e-09,1,0.9975
EX:SYNX,2024-01-01,Q0.8000_0.9000,4.3360555372020405e-08,8.87084198674493e-10,1600,0.06100708144139533,8.399848664408179e-07,0.21297797638477042,2.3818351603532013e-08,9.675780225547514e-14,True,5.689645505207599e-09,1,0.999
EX:SYNY,2024-01-01,Q0.8000_0.9000,8.740386841817485e-08,1.14206599063987e-09,1600,0.24985377620327798,8.836632164226245e-07,0.2242550274691223,2.6760698963701442e-06,0.6251492239126025,True,4.464150157917563e-09,1,0.999
