label,date,qbin,mu0,mu0_se_hac,n,r2,mu1,mu2,mu1_se,mu2_se,success,cost,M,q_outlier
EX:BINANCE,2025-05-04,Q0.8000_0.9000,0.0,1.2106367786330614e-07,15380,0.011738583747331943,9.472323299400064e-08,0.049408284972168565,3.4758465114239844e-07,8.4724140774708e-14,True,1.8414800158281034e-05,1,0.995
EX:BINANCE,2025-05-04,Q0.9000_0.9500,0.0,9.66487520717655e-08,6998,0.03572907688996663,1.1605365798525609e-07,0.057404097512580715,4.1739428751922907e-07,1.6814485350404928e-13,True,6.351370761574119e-06,1,0.995
EX:BINANCE,2025-05-04,Q0.9500_0.9700,0.0,1.2864767582153865e-07,2572,0.051492623587433894,1.3026643380205634e-07,0.0649605368130888,6.813527222894896e-07,3.544652755913299e-13,True,2.5776227177382284e-06,1,0.995
EX:BINANCE,2025-05-04,Q0.9700_0.9900,0.0,1.215979923620534e-07,2487,0.09106495730028585,9.858724228536343e-08,0.049120922842649684,8.646388657866807e-07,3.7899890095528296e-13,True,3.57502698445314e-06,1,0.995
EX:BINANCE,2025-05-05,Q0.8000_0.9000,0.0,1.14546642246684e-07,19258,0.019624244965147364,6.900959557622923e-08,0.03636734203156808,3.0742682021663963e-07,5.483600436357418e-14,True,2.114291589438519e-05,1,0.995
EX:BINANCE,2025-05-05,Q0.9000_0.9500,0.0,1.0012839367568221e-07,9099,0.031997971569306616,2.490541281576418e-09,0.0012510030091980873,4.64880756252875e-07,4.0259605469125605e-15,True,9.022426381506741e-06,1,0.995
EX:BINANCE,2025-05-05,Q0.9500_0.9700,0.0,1.4264435840373608e-07,3293,0.03720714614514964,1.368324474098997e-07,0.06803045933155541,6.762849427131884e-07,3.698327525088792e-13,True,4.2684398787942565e-06,1,0.995
EX:BINANCE,2025-05-05,Q0.9700_0.9900,0.0,1.2866417700564264e-07,3240,0.10742337023821225,7.721218998620029e-08,0.0385952636529934,8.414958537426811e-07,2.887077815507041e-13,True,5.233792544562777e-06,1,0.995
EX:BINANCE,2025-05-05,Q0.9900_0.9975,0.0,1.5889775239860092e-07,1219,0.21301434273652065,9.342141736512234e-08,0.0013047092025119077,1.7871161617956615e-06,8.350149436281034e-13,True,2.4001464261701814e-06,1,0.995
EX:BINANCE,2025-05-07,Q0.8000_0.9000,0.0,1.0586526226894727e-07,18488,0.017309847025913982,1.1394298819408978e-09,0.0006220916877641702,3.3553647263679086e-07,9.759683614337151e-16,True,1.9300194346782436e-05,1,0.995
EX:BINANCE,2025-05-07,Q0.9000_0.9500,0.0,4.195792369248132e-06,9192,0.00011202144838284855,8.138065616302854e-09,0.004738137362943318,2.7952443526988136e-05,7.915934485564485e-13,True,0.03410796692304524,1,0.995
EX:BINANCE,2025-05-07,Q0.9500_0.9700,0.0,1.1467020605988466e-07,3085,0.04086716206767538,1.4743966900662376e-07,0.07359184616118486,6.154734642188428e-07,3.6277251540960196e-13,True,3.2441995299010144e-06,1,0.995
EX:BINANCE,2025-05-07,Q0.9700_0.9900,0.0,1.1240361078992904e-07,3166,0.088183146326825,1.0552263040780567e-07,0.05239424068171933,7.37643414001397e-07,3.462715472974566e-13,True,4.343007844287991e-06,1,0.995
EX:BINANCE,2025-05-07,Q0.9900_0.9975,0.0,1.6696461247958072e-07,1063,0.131246826858603,9.84017937649316e-08,0.04895751788274874,1.4665419105121608e-06,7.186109322215275e-13,True,1.9748040478950327e-06,1,0.995
EX:BINANCE,2025-05-14,Q0.8000_0.9000,0.0,7.404152656034515e-08,29525,0.027556287782703137,6.500175681369778e-10,0.00030197315045647766,2.4682545345101933e-07,4.108916912108391e-16,True,2.6593286255271654e-05,1,0.995
EX:BINANCE,2025-05-14,Q0.9000_0.9500,0.0,7.817617987102448e-08,12892,0.09120621198300716,1.0663568293990144e-08,0.0004349914139570709,4.065023515957018e-07,1.5000130352282852e-14,True,1.3771358538456332e-05,1,0.995
EX:BINANCE,2025-05-14,Q0.9500_0.9700,0.0,9.173204309226987e-08,5792,0.12280411302145167,6.380216953475102e-08,0.0009474398809445617,6.616594543303917e-07,1.688302833877459e-13,True,7.396687978479169e-06,1,0.995
EX:BINANCE,2025-05-14,Q0.9700_0.9900,0.0,7.019067026455302e-08,6528,0.24254203722029055,1.0353715596884067e-09,1.1895604825449754e-05,6.859355702014995e-07,3.173337123492787e-15,True,1.0023284002245856e-05,1,0.995
EX:BINANCE,2025-05-14,Q0.9900_0.9975,0.0,9.245750910212206e-08,2567,0.2860839512307892,2.893470893797354e-09,2.9434922398402508e-05,1.2154790530334283e-06,1.7534519832902757e-14,True,4.865255687303696e-06,1,0.995
EX:BINANCE,2025-05-15,Q0.8000_0.9000,0.0,1.013816632977696e-07,30702,0.014070091017599928,1.0752096992363572e-09,0.0005105400090519158,3.037041194502938e-07,8.41401603123102e-16,True,4.3583190067781303e-05,1,0.995
EX:BINANCE,2025-05-15,Q0.9000_0.9500,0.0,7.19756523675223e-08,15576,0.054986634675886825,4.519909071555177e-10,0.00022242852170290678,3.95458300148442e-07,6.19539216531543e-16,True,1.8997530300609978e-05,1,0.995
EX:BINANCE,2025-05-15,Q0.9500_0.9700,0.0,9.88351367101866e-08,6992,0.053801381453095765,3.638582620023607e-08,0.001716317051773903,6.244850684026173e-07,9.09613445893831e-14,True,9.66185455824229e-06,1,0.995
EX:BINANCE,2025-05-15,Q0.9700_0.9900,0.0,8.140834602275752e-08,6102,0.17018547214337887,4.69797277280267e-10,6.780473821440484e-06,7.684346652934202e-07,1.6067405489285812e-15,True,1.0990365897522457e-05,1,0.995
EX:BINANCE,2025-05-15,Q0.9900_0.9975,0.0,1.2163223761625194e-07,2341,0.2465391007815737,1.2785140739196968e-09,1.410030495669571e-05,1.4509534057328832e-06,9.270911610881328e-15,True,5.764607999188455e-06,1,0.995
EX:BINANCE,2025-05-17,Q0.8000_0.9000,0.0,1.3296542840307245e-07,19766,0.033778487958336156,3.338372165197174e-08,0.016623895112256815,3.656225907369172e-07,3.1444877308590827e-14,True,2.8444902172495957e-05,1,0.995
EX:BINANCE,2025-05-17,Q0.9000_0.9500,0.0,1.1441186167885031e-07,10619,0.07498914251199706,4.449826727969337e-08,0.02207581755318344,4.6219313153561987e-07,7.115823383441533e-14,True,1.4029126832938604e-05,1,0.995
EX:BINANCE,2025-05-17,Q0.9500_0.9700,0.0,2.331697420170024e-07,4028,0.05970019718518138,2.4927909050425867e-08,0.002200430000942312,1.040210156357677e-06,1.0359863961787472e-13,True,8.929176867337838e-06,1,0.995
EX:BINANCE,2025-05-17,Q0.9700_0.9900,0.0,9.263780074295636e-08,4167,0.24464003576483218,6.151870553447879e-10,7.3180895338242295e-06,9.25446942695883e-07,2.5403850225560253e-15,True,7.432585668888838e-06,1,0.995
